,alpha,delta,beta,gamma,state,channel,subject
29,0.0677800851101856,0.2353199958128809,0.0611542612860049,0.0171462281817121,drowsy,T8,subject_5
30,0.0979330247477768,0.1445431446875698,0.0681817528703909,0.0276925558161275,focused,FC6,subject_5
31,0.0627605633021632,0.8788195190916602,0.0501489596861477,0.0282801780819184,unfocused,FC6,subject_5
32,0.0811024702042726,0.8180685777666997,0.0617809752327034,0.0190754474921632,drowsy,FC6,subject_5
33,0.0702690132437869,3.4380117147778195,0.0539136679708634,0.0267887174200842,focused,F4,subject_5
34,0.1700689240292328,1.804718416407636,0.0520161420167534,0.0090327571736063,unfocused,F4,subject_5
35,0.0001578932147863,1.5255667354432997e-05,0.0002934851139355,0.0011926396261682,drowsy,F4,subject_5
36,0.0571234989654576,0.0471040642337965,0.0586706421594284,0.0354413077933707,focused,F8,subject_5
37,0.0187121811734764,0.0954437235391073,0.0140926445215214,0.0058225418475956,unfocused,F8,subject_5
38,0.0047373957830058,0.0107791878807556,0.0042282995987732,0.0032323644934623,drowsy,F8,subject_5
39,1.0748153081473282,6.385449555488301,0.5556525185465783,0.2038232615627302,focused,AF4,subject_5
40,2.1687572408553266,20.22110427911338,0.3713653409593631,0.1058161153719458,unfocused,AF4,subject_5
41,1.5906051828841723,16.88758716412879,0.5053854031152625,0.0874104582547995,drowsy,AF4,subject_5
42,0.2027091945655001,0.2091463762459985,0.0690671049047925,0.0340360049270502,focused,AF3,subject_10
43,0.1087270450186886,0.0992589172477462,0.0664536737625453,0.0439291280587295,unfocused,AF3,subject_10
44,0.0716947573580365,0.0255783104549021,0.0832838372942666,0.0290030977656186,drowsy,AF3,subject_10
45,1.670826451737231,94.3843744261753,0.8488269265458286,0.1861068868856621,focused,F7,subject_10
46,1.960856058802315,532.9629628080437,1.0788500312404308,0.2102246311246623,unfocused,F7,subject_10
47,1.277135844735448,30.233494270138685,0.4532888272180967,0.0968071233611883,drowsy,F7,subject_10
48,1.909204457914899,112.14609450892326,1.3434990571976857,0.251785947639679,focused,F3,subject_10
49,3.774245517021838,938.4105265117132,1.602010516279104,0.382194454093936,unfocused,F3,subject_10
50,2.500631049484652,63.037562461690285,0.652067787610922,0.119246275843295,drowsy,F3,subject_10
51,0.1579152841850098,0.2731968969946841,0.2826623836162683,0.1130225075706199,focused,FC5,subject_10
52,0.1786830606037324,0.1062234710311979,0.0851389211568253,0.0619364096538524,unfocused,FC5,subject_10
53,0.0732112201476448,0.1185137009903806,0.1069317113169362,0.0527370236828689,drowsy,FC5,subject_10
54,0.0494226020448494,0.05824043391979,0.0337633550458236,0.014396290753433,focused,T7,subject_10
55,0.0361317709585793,0.0211521236103696,0.0354573128823756,0.0256170819333769,unfocused,T7,subject_10
56,0.0566724170771192,0.076006049106055,0.0415129617105808,0.0261240683257697,drowsy,T7,subject_10
57,3.027242096124486,171.54622304554528,1.2373048409772736,0.1967996377975729,focused,P7,subject_10
58,3.4501404234903825,622.6594523684801,1.491436583263568,0.2409317501204759,unfocused,P7,subject_10
59,4.917826739022078,128.93305839695932,0.8839809151791366,0.1976700468527372,drowsy,P7,subject_10
60,3.0519612301702503,70.98109791712274,1.2715224045258455,0.2027118095056376,focused,O1,subject_10
61,5.21452289849527,1714.5573246796755,2.863745765660892,0.5176982427986508,unfocused,O1,subject_10
62,3.646044212805646,50.85637124836198,0.6478760948497414,0.126689679660102,drowsy,O1,subject_10
63,3.940050023326813,159.63907746826035,1.4927482605165905,0.2366020877013632,focused,O2,subject_10
64,1.5933805825846987,215.29895644606177,0.9203962832850404,0.1459178123808671,unfocused,O2,subject_10
65,5.255142070678359,94.06136523054433,1.0081592090907467,0.1923710835928536,drowsy,O2,subject_10
66,1.662382165865672,90.04882686124965,1.2617941356090443,0.2031325318836281,focused,P8,subject_10
67,1.74240559786252,704.5797885524833,0.9141288974237344,0.194747296263219,unfocused,P8,subject_10
68,2.9414587983543874,104.71550351694312,0.6704025713875503,0.1165429463844954,drowsy,P8,subject_10
69,0.0521558045493096,2.015954260207661,0.0167317256497336,0.0037397457066772,focused,T8,subject_10
70,0.0863884304943041,0.8194926795708363,0.0227045640889351,0.009649531866064,unfocused,T8,subject_10
71,0.0304601476337234,0.6730435510688996,0.0414894780237006,0.0106561044110058,drowsy,T8,subject_10
72,0.0866194305130717,0.5544268077452895,0.0565623642243974,0.0357747679737463,focused,FC6,subject_10
73,0.0232773133839468,0.0308541867122534,0.0356056496617957,0.0173372133605735,unfocused,FC6,subject_10
